-1.7804261,-1.1449732,1.5484392
-1.7938369,-1.3437843,1.3027813
-1.7566265,-1.5359985,1.2923672
-1.6674590,-1.7115748,1.3913944
-1.5361458,-1.8608078,1.5211808
-1.3780330,-1.9819064,1.6508168
-1.2051921,-2.0773550,1.7391620
-1.0196406,-2.1472141,1.8037498
-0.8248819,-2.1887366,1.8493166
-0.6279064,-2.2000152,1.8830286
-0.4309117,-2.1809369,1.9147585
-0.2366233,-2.1330066,1.9450807
-0.0529290,-2.0607679,1.9726561
0.1219149,-1.9650752,1.9968487
0.2830184,-1.8490413,2.0147991
0.4294954,-1.7135559,2.0206712
0.5567067,-1.5626839,2.0213030
0.6651732,-1.3942455,2.0303436
0.7503786,-1.2146338,1.9773953
0.8097732,-1.0279764,1.8564418
0.8417424,-0.8312408,1.7113605
0.8445027,-0.6339960,1.4886899
0.8111729,-0.4387501,1.2811842
0.7278494,-0.2597915,1.1738126
0.5882655,-0.1199852,1.3043946
0.4157080,-0.0243861,1.4763474
0.2298134,0.0407315,1.6349813
0.0337888,0.0832834,1.7552982
-0.1597915,0.0952960,1.8319034
-0.3591734,0.0792419,1.8976385
-0.5539427,0.0380502,1.9487324
-0.7426940,-0.0248868,1.9900406
-0.9242035,-0.1075654,2.0263897
-1.0962698,-0.2083944,2.0470745
-1.2559225,-0.3256698,2.0637255
-1.4039265,-0.4617420,2.0515991
-1.5321801,-0.6105693,2.0273483
-1.6436740,-0.7794231,1.9009361
-1.7282383,-0.9589751,1.8277205
-1.7804261,-1.1449732,1.5484392
